route_long_name,latitude,longitude
BDS Nagara - Shivajinagar Bus Station,,
Kempegowda Bus Station - Nagaresha Nagenahalli Dinne,,
Kempegowda Bus Station - Nagaresha Nagenahalli Dinne,,
Kempegowda Bus Station - Kamalanagar BEML layout,,
HAL Police Station - AMD Private Limited,,
JFWTC-ITPL - Shirke Bus Stand,,
Dr Ambedkar Institute Of Technology - Malleshwaram Bus Station,,
Depot-25 - Madiwala MARKET,,
Kempegowda Bus Station - Guruvanahalli,,
Kempegowda Bus Station - BEML Layout 5th Stage,,
Kempegowda Bus Station - Uttarahalli,,
Kempegowda Bus Station - Gubbalala,,
Kempegowda Bus Station - Banashankari 5th Stage,,
Kempegowda Bus Station - Poornapragna Layout,,
Kempegowda Bus Station - BSK 5th stage patalamma Tempel,,
Nagarabhavi Sports Club - Kempegowda Bus Station,,
Kempegowda Bus Station - BHEL Layout Maramma Temple,,
Chandra Layout 1st Stage - Chowdeshwari Bus Stand JP Park,,
Vishwapriya Layout - Shivajinagar Bus Station,,
BTMAXA Software Company - Manyatha Embasy Business Park,,
Shivajinagar Bus Station - Hosakote Govt High School,,
Hosakote Bus Stand - Maratahalli,,
White Field TTMC - Kattigenahalli Gate,,
Krishnarajendra Market - Bangalore University ADM Block,,
Krishna Rao Park - Bangalore University Gate Mysore Road,,
Nagashetty Halli E Spring Apartment - Kala Mandir Marathalli,,
Mallara Banavadi - Kempegowda Bus Station,,
BMTC Depot-21 - Infosys,,
Depot-25 - Vishwapriya Layout,,
Yelahanka - Sonnenahalli,,
Jayanagara 9th Block - Infosys,,
Aluru - Arishinakunte,,
Krishnarajendra Market - Jn of Hosur Road,,
Jayanagara 9th Block - Kempegowda Bus Station,,
Krishnarajendra Market - Jayanagara Bus Stand,,
Depot 8 - RR Kalyanamantapa Okalipuram,,
Krishnarajendra Market - Marathahalli Bridge,,
Hebbala - Shivajinagar Bus Station,,
Ramakrishna Hegde Nagara - St John High School,,
JFWTC-ITPL - Nagarabhavi Sports Club,,
Shanthi Nagara Bus Station - AECS Layout,,
Kempegowda Bus Station - Bannerghatta National Park,,
Maratahalli Bridge - Vidhana Soudha,,
HAL 6th Main - Adithi School,,
Ramakrishna Ashrama - Electronic City,,
JFWTC - Tippasandra,,
JP Nagar 6th Phase - Krishnarajendra Market,,
Sampigehalli - HAL/LCA,,
Gudemarenahalli Village - Krishnarajendra Market,,
Kempegowda Bus Station - Doddaballapura,,
Valley School - Krishnarajendra Market,,
Avalahalli Nandi Garden - Outer Ring Road Company Association,,
Depot 11 - Heritage Apartment,,
Shivajinagar Bus Station - Vigneshwara Nagara,,
Summanahalli Magadi Road - Narasipura,,
Gottigere - BAGMANE TECH PARK,,
Mind Tree - Kempegowda Bus Station,,
Nelamangala - Kempegowda Bus Station,,
Haro Kyatanahalli - Kempegowda Bus Station,,
